genre,director,budget,gross,runtime,rating
Comedy,Woody Allen,15000000.0,10631333.0,82.0,PG
Comedy,Stan Dragoti,16000000.0,8645411.0,92.0,PG
Action,Joseph Zito,10000000.0,17536256.0,107.0,R
Adventure,Hugh Hudson,28000000.0,358574.0,126.0,PG
Action,Andrew Davis,7000000.0,20345361.0,101.0,R
Comedy,Sam Raimi,3000000.0,5101.0,83.0,PG-13
Adventure,Jeannot Szwarc,50000000.0,23717291.0,107.0,PG
Drama,Norman Jewison,10000000.0,25627836.0,98.0,PG-13
Action,Burt Reynolds,22000000.0,8489518.0,109.0,R
Fantasy,Franc Roddam,13000000.0,3558669.0,118.0,PG-13
Action,Directors,2000000.0,4116395.0,87.0,PG
Drama,Fred Schepisi,10000000.0,6148000.0,121.0,R
Adventure,Bruce Beresford,22000000.0,5111099.0,114.0,PG-13
Action,Lance Hool,2410000.0,10755447.0,100.0,R
Action,James Glickenhaus,5000000.0,981817.0,91.0,R
Crime,Phillip Borsos,7000000.0,4349446.0,103.0,R
Comedy,Michael Schultz,3000000.0,11052713.0,97.0,R
Animation,Directors,2000000.0,7660857.0,100.0,G
Animation,Steven Hahn,15000000.0,3360800.0,100.0,PG
Animation,Arna Selznick,2000000.0,22934622.0,77.0,G
Drama,Bud Yorkin,8000000.0,8402424.0,111.0,R
Comedy,Robert Altman,7000000.0,29815.0,109.0,R
Drama,Richard Brooks,7000000.0,618847.0,96.0,R
Drama,Joel Silberg,2000000.0,2864844.0,92.0,PG
Action,Tony Scott,15000000.0,357288178.0,110.0,PG
Action,James Cameron,18500000.0,131060248.0,137.0,R
Adventure,Rob Reiner,8000000.0,52287414.0,89.0,R
Comedy,John Hughes,6000000.0,70720215.0,103.0,PG-13
Action,Peter Faiman,8800000.0,328203506.0,97.0,PG-13
Adventure,Jim Henson,25000000.0,13915874.0,101.0,PG
Action,Russell Mulcahy,16000000.0,5900712.0,116.0,R
Action,John Carpenter,25000000.0,11100577.0,99.0,PG-13
Comedy,Howard Deutch,9000000.0,40479480.0,97.0,PG-13
